7221,1729 Fundamental value Investing,1729 Advisors : Fundamental Value Investing,1
7317,1729 FUNDAMENTAL VALUE INVESTING,1729 Advisors : Fundamental Value Investing,
3960,2Point2 Long Term Value Fund,2Point2 Capital Advisors : Long Term Value Fund,1
5239,2POINT2 Long Term Value Fund,2Point2 Capital Advisors : Long Term Value Fund,
7351,0,360 One Alternates : X,1
3961,Investment Approach 1,4A Securities : Investment Approach 1,1
3997,Credit ALPHA,A.K. Wealth Management : Credit Alpha,1
7352,Credit ALPHA ,A.K. Wealth Management : Credit Alpha,
3998,Credit EASE,A.K. Wealth Management : Credit Ease,1
7353,Credit EASE ,A.K. Wealth Management : Credit Ease,
4009,Dynamic Asset Allocation,Aarohan Holdings : Dynamic Asset Allocation,1
6970,Investment Approach 1,Aavishkaar Advisors : Investment Approach 1,1
7354,0,Aavishkaar Advisors : X,1
4019,Abakkus All Cap Approach,Abakkus Asset Manager : All Cap Approach,1
7370,Abakkus All Cap Approach - 2,Abakkus Asset Manager : All Cap Approach 2,1
7031,Abakkus All Cap Approach 2,Abakkus Asset Manager : All Cap Approach 2,
7367,Abakkus All Cap (ESG) Approach,Abakkus Asset Manager : All Cap ESG Approach,
7697,Abakkus All Cap Approach (ESG),Abakkus Asset Manager : All Cap ESG Approach,1
5682,Abakkus All Cap ESG Approach,Abakkus Asset Manager : All Cap ESG Approach,
7368,Abakkus All Cap (FPI) Approach,Abakkus Asset Manager : All Cap FPI Approach,1
5683,Abakkus All Cap FPI Approach,Abakkus Asset Manager : All Cap FPI Approach,
7369,Abakkus All Cap (Shariah) Approach,Abakkus Asset Manager : All Cap Shariah Approach,
7698,Abakkus All Cap Approach (Shariah),Abakkus Asset Manager : All Cap Shariah Approach,1
5684,Abakkus All Cap Shariah Approach,Abakkus Asset Manager : All Cap Shariah Approach,
7032,Abakkus Curated Personalized Portfolio Strategy,Abakkus Asset Manager : Curated Personalized Portfolio Strategy,
7092,Abakkus Curated Personlized Portfolio Strategy,Abakkus Asset Manager : Curated Personalized Portfolio Strategy,1
7273,Abakkus Diversified Alpha Approach,Abakkus Asset Manager : Diversified Alpha Approach,1
4020,Abakkus Emerging Opportunities Approach,Abakkus Asset Manager : Emerging Opportunities Approach,1
7372,Abakkus Emerging Opportunities Approach 2,Abakkus Asset Manager : Emerging Opportunities Approach 2,1
7033,Abakkus Emerging Opportunities Approach 2,Abakkus Asset Manager : Emerging Opportunities Approach 2,
"1,17,125",Abakkus Emerging Opportunities Approach - 2,Abakkus Asset Manager : Emerging Opportunities Approach 2,pending
"1,26,849",Abakkus Emerging Opportunities Approach - 2,Abakkus Asset Manager : Emerging Opportunities Approach 2,pending
"1,28,918",Abakkus Emerging Opportunities Approach - 2,Abakkus Asset Manager : Emerging Opportunities Approach 2,pending
7371,Abakkus Emerging Opportunities (Shariah) Approach,Abakkus Asset Manager : Emerging Opportunities Shariah Approach,1
6686,Abakkus Emerging Opportunities Shariah Approach,Abakkus Asset Manager : Emerging Opportunities Shariah Approach,
4021,Abakkus Liquid Approach,Abakkus Asset Manager : Liquid Approach,1
7375,Abakkus Liquid Approach - 2,Abakkus Asset Manager : Liquid Approach 2,1
7034,Abakkus Liquid Approach 2,Abakkus Asset Manager : Liquid Approach 2,
4022,Abakkus Personalised Opportunity Specific Strategy,Abakkus Asset Manager : Personalised Opportunity Specific Strategy,1
5241,Abakkus Select Opportunities Strategy,Abakkus Asset Manager : Select Opportunities Strategy,
7373,Abakkus Select Opportunities Strategy Approach,Abakkus Asset Manager : Select Opportunities Strategy,1
7374,Abakkus Select Opportunities Strategy Approach - 2,Abakkus Asset Manager : Select Opportunities Strategy Approach - 2,1
7035,Abakkus Select Opportunities Strategy Approach 2,Abakkus Asset Manager : Select Opportunities Strategy Approach 2,1
6905,Abans Growth And Momentum,Abans Broking : Growth And Momentum,1
7355,Abans Growth and Momentum,Abans Broking : Growth And Momentum,
4000,Abans Investment Managers ,Abans Broking : Investment Managers,1
6685,Abans Smartbeta Portfolio,Abans Broking : Smart Beta,
6469,Abans Smart Beta,Abans Broking : Smart Beta,
7694,Abans Smartbeta,Abans Broking : Smart Beta,1
3999,Abchlor Portfolio Management Service,Abchlor Investment : Portfolio Management Service,1
3962,Money Multiplier,AC Choksi : Money Multiplier,1
7350,Money Multiplier - 00002722-001-,AC Choksi : Money Multiplier,
"1,17,050",Accelt Long Term Equity Fund,Accelt Asset Management : Long Term Equity Fund,1
"1,26,789",Accelt Long Term Equity Fund,Accelt Asset Management : Long Term Equity Fund,
"1,28,816",Accelt Long Term Equity Fund,Accelt Asset Management : Long Term Equity Fund,
4012,Alpha10,Accuracap Consultancy : Alpha10,1
4013,AlphaGen,Accuracap Consultancy : Alphagen,1
7358,Dynamo,Accuracap Consultancy : Dynamo,1
7696,DYNAMO,Accuracap Consultancy : Dynamo,
4014,PicoPower,Accuracap Consultancy : Picopower,1
6162,ACE LANSDOWNE ABSOLUTE RETURN STRATEGY,Ace Lansdowne Investments : Absolute Return Strategy,1
6161,ACE FOCUSED 10 STRATEGY,Ace Lansdowne Investments : Focused 10 Strategy,1
6074,Investment Approach 1,Ace Lansdowne Investments : Investment Approach 1,1
6197,ACE LANSDOWNE LIQUID STRATEGY,Ace Lansdowne Investments : Liquid Strategy,1
6163,ACE LANSDOWNE MULTICAP STRATEGY,Ace Lansdowne Investments : Multicap Strategy,1
6106,Approach_Name,Ace Lansdowne Investments : X,1
4006,Acepro Emerging Business strategy,Acepro Advisors : Emerging Business Strategy,1
4007,Acepro Galaxy Strategy,Acepro Advisors : Galaxy Strategy,1
4008,Acepro Large Cap Strategy,Acepro Advisors : Large Cap Strategy,1
5391,Acepro Midcap and Smallcap strategy,Acepro Advisors : Midcap And Smallcap Strategy,1
6107,India Growth Opportunitiies MulticapApproach 1,Achintay Securities : India Growth Opportunitiies Multicap,
4028,India Growth Opportunities Multicap,Achintay Securities : India Growth Opportunitiies Multicap,1
6276,India Growth Opportunitiies Multicap,Achintay Securities : India Growth Opportunitiies Multicap,
7030,INDIA GROWTH OPPORTUNITIES MULTICAP,Achintay Securities : India Growth Opportunitiies Multicap,
6076,Investment Approach 1,Achintay Securities : Investment Approach 1,1
6847,Multicap,Achintay Securities : Multicap,1
6971,MULTICAP,Achintay Securities : Multicap,
6075,Core and Satellite Equity Portfoli,Aditya Birla Money : Core And Satellite Equity Portfolio,
4016,Core and Satellite Equity Portfolio,Aditya Birla Money : Core And Satellite Equity Portfolio,1
5186,Core and Satellite Equity Portfolio ,Aditya Birla Money : Core And Satellite Equity Portfolio,
5392,Core and Satellite Equity PortfolioApproach 1,Aditya Birla Money : Core And Satellite Equity Portfolio Approach 1,1
6201,Core and Satellite Equity Portfoliont Approach Name 2,Aditya Birla Money : Core And Satellite Equity Portfolio Approach Name 2,1
7226,Core and Satellite Equity PortfolioApproach Name 2,Aditya Birla Money : Core And Satellite Equity Portfolio Approach Name 2,
6200,Core and Satellite Equity Portfolio1ment Approach Name 3,Aditya Birla Money : Core And Satellite Equity Portfolio Approach Name 3,1
5039,Core and Satellite Equity Portfolio1,Aditya Birla Money : Core And Satellite Equity Portfolio1,
7364,Core and Satellite Equity Portfolio1 ,Aditya Birla Money : Core And Satellite Equity Portfolio1,1
4017,Core and Satellite Equity Portfolio1Approach Name 2,Aditya Birla Money : Core And Satellite Equity Portfolio1 Approach Name 2,1
4902,Core and Satellite Equity Portfolio1proach Name 2,Aditya Birla Money : Core And Satellite Equity Portfolio1 Approach Name 2,
5522,Core  and Satellite Portfolio Scheme 1,Aditya Birla Money : Core And Satellite Portfolio Scheme 1,
4018,Core and Satellite Portfolio Scheme 1,Aditya Birla Money : Core And Satellite Portfolio Scheme 1,1
5639,CORE and SATELLITE PORTFOLIO SCHEME 1,Aditya Birla Money : Core And Satellite Portfolio Scheme 1,
5288,Core and Satellite Portfolio Scheme 1Approach Name 4,Aditya Birla Money : Core And Satellite Portfolio Scheme 1,
5554,CORE and SATELLITE PORTFOLIO SCHEME 1Approach Name 4,Aditya Birla Money : Core And Satellite Portfolio Scheme 1,
5477,CORE  AND SATELLITE PORTFOLIO SCHEME 1Approach Name 4,Aditya Birla Money : Core And Satellite Portfolio Scheme 1 Approach Name 4,1
5958,ABM CORE PORTFOLIO,Aditya Birla Money : Core Portfolio,1
4015,ABM India Consumption PortfolioApproach Name 3,Aditya Birla Money : India Consumption Portfolio,
4901,ABM India Consumption Portfolio,Aditya Birla Money : India Consumption Portfolio,1
6198,ABM India Consumption Portfoliotment Approach Name 4,Aditya Birla Money : India Consumption Portfoliotment Approach Name 4,1
6291,Investment Approach Name 6,Aditya Birla Money : Investment Approach Name 6,1
